href,text,source_file,line_number,tag,category,context,is_valid,target,rel,aria_label,class
/images/favicon-circle.svg,,index.html,10,link,asset,body,True,,icon,,
/images/favicon.ico,,index.html,11,link,asset,body,True,,icon,,
/images/favicons/favicon-16x16.png,,index.html,12,link,asset,body,True,,icon,,
/images/favicons/favicon-32x32.png,,index.html,13,link,asset,body,True,,icon,,
/images/favicons/favicon-192x192.png,,index.html,14,link,asset,body,True,,icon,,
/images/favicons/favicon-192x192.png,,index.html,15,link,asset,body,True,,apple-touch-icon,,
/css/base.css,,index.html,17,link,asset,body,True,,stylesheet,,
/images/favicon-circle.svg,,404.html,10,link,asset,body,True,,icon,,
/images/favicon.ico,,404.html,11,link,asset,body,True,,icon,,
/css/base.css,,404.html,14,link,asset,body,True,,stylesheet,,
/images/logo.png,A Lo Cubano Boulder Fest Logo,404.html,144,img,asset,body,True,,,,
/,Go Home,404.html,155,a,content,body,True,,,,btn
/about,About Festival,404.html,156,a,content,body,True,,,,btn-secondary
/tickets,Get Tickets,404.html,157,a,content,body,True,,,,btn-secondary
https://picsum.photos/400/300?random=1,Test Image 1,test-consolidation.html,122,img,external,body,True,,,,gallery-image
https://picsum.photos/400/300?random=2,Test Image 2,test-consolidation.html,123,img,external,body,True,,,,gallery-image
https://picsum.photos/400/300?random=3,Test Image 3,test-consolidation.html,124,img,external,body,True,,,,gallery-image
js/components/lightbox.js,,test-consolidation.html,149,script,asset,body,True,,,,
js/components/lazy-loading.js,,test-consolidation.html,150,script,asset,body,True,,,,
/images/favicon-circle.svg,,home.html,10,link,asset,body,True,,icon,,
/images/favicon.ico,,home.html,11,link,asset,body,True,,icon,,
/images/favicons/favicon-16x16.png,,home.html,12,link,asset,body,True,,icon,,
/images/favicons/favicon-32x32.png,,home.html,13,link,asset,body,True,,icon,,
/images/favicons/favicon-192x192.png,,home.html,14,link,asset,body,True,,icon,,
/images/favicons/favicon-192x192.png,,home.html,15,link,asset,body,True,,apple-touch-icon,,
/css/base.css,,home.html,17,link,asset,body,True,,stylesheet,,
/css/components.css,,home.html,18,link,asset,body,True,,stylesheet,,
/css/typography.css,,home.html,19,link,asset,body,True,,stylesheet,,
/css/mobile-overrides.css,,home.html,20,link,asset,body,True,,stylesheet,,
#main-content,Skip to main content,home.html,24,a,anchor,body,True,,,,skip-link
#navigation,Skip to navigation,home.html,25,a,anchor,body,True,,,,skip-link
/home,,home.html,31,a,navigation,header,True,,,Go to home page,logo-link
/images/logo.png,A Lo Cubano Boulder Fest Logo,home.html,32,img,asset,header,True,,,,
/home,Home,home.html,45,a,navigation,header|navigation|nav|list,True,,,,nav-link is-active
/about,About,home.html,46,a,navigation,header|navigation|nav|list,True,,,,nav-link
/artists,Artists,home.html,47,a,navigation,header|navigation|nav|list,True,,,,nav-link
/schedule,Schedule,home.html,48,a,navigation,header|navigation|nav|list,True,,,,nav-link
/gallery,Gallery,home.html,49,a,navigation,header|navigation|nav|list,True,,,,nav-link
/tickets,Tickets,home.html,50,a,navigation,header|navigation|nav|list,True,,,,nav-link
/donations,Donate,home.html,51,a,navigation,header|navigation|nav|list,True,,,,nav-link
,"Dynamic festival photo showcasing A Lo Cubano Boulder Fest celebration with dancers, musicians, and Cuban culture",home.html,63,img,content,main,True,,,,hero-splash-img
/tickets,GET TICKETS NOW,home.html,166,a,content,main,True,,,,form-button-type
mailto:alocubanoboulderfest@gmail.com?subject=A Lo Cubano Boulder Fest Inquiry,alocubanoboulderfest@gmail.com,home.html,194,a,email,footer,True,,,,
https://instagram.com/alocubanoboulder,,home.html,196,a,social,footer,True,_blank,noopener noreferrer,Follow us on Instagram,social-link-type
https://chat.whatsapp.com/KadIVdb24RWKdIKGtipnLH,,home.html,203,a,social,footer,True,_blank,noopener noreferrer,Join us on WhatsApp,social-link-type
/js/navigation.js,,home.html,211,script,asset,body,True,,,,
/js/components/lightbox.js,,home.html,212,script,asset,body,True,,,,
/js/components/lazy-loading.js,,home.html,213,script,asset,body,True,,,,
/js/main.js,,home.html,214,script,asset,body,True,,,,
/js/typography.js,,home.html,215,script,asset,body,True,,,,
/js/image-cache-manager.js?v=2025-07-20-DEBUG-TIMING,,home.html,216,script,content,body,True,,,,
/js/gallery-hero.js,,home.html,217,script,asset,body,True,,,,
/images/favicon-circle.svg,,about.html,9,link,asset,body,True,,icon,,
/images/favicon.ico,,about.html,10,link,asset,body,True,,icon,,
/images/favicons/favicon-16x16.png,,about.html,11,link,asset,body,True,,icon,,
/images/favicons/favicon-32x32.png,,about.html,12,link,asset,body,True,,icon,,
/images/favicons/favicon-192x192.png,,about.html,13,link,asset,body,True,,icon,,
/images/favicons/favicon-192x192.png,,about.html,14,link,asset,body,True,,apple-touch-icon,,
/css/base.css,,about.html,15,link,asset,body,True,,stylesheet,,
/css/components.css,,about.html,16,link,asset,body,True,,stylesheet,,
/css/typography.css,,about.html,17,link,asset,body,True,,stylesheet,,
/css/mobile-overrides.css,,about.html,18,link,asset,body,True,,stylesheet,,
/home,,about.html,25,a,navigation,header,True,,,Go to home page,logo-link
/images/logo.png,A Lo Cubano Boulder Fest Logo,about.html,26,img,asset,header,True,,,,
/home,Home,about.html,39,a,navigation,header|navigation|nav|list,True,,,,nav-link
/about,About,about.html,40,a,navigation,header|navigation|nav|list,True,,,,nav-link is-active
/artists,Artists,about.html,41,a,navigation,header|navigation|nav|list,True,,,,nav-link
/schedule,Schedule,about.html,42,a,navigation,header|navigation|nav|list,True,,,,nav-link
/gallery,Gallery,about.html,43,a,navigation,header|navigation|nav|list,True,,,,nav-link
/tickets,Tickets,about.html,44,a,navigation,header|navigation|nav|list,True,,,,nav-link
/donations,Donate,about.html,45,a,navigation,header|navigation|nav|list,True,,,,nav-link
,"Behind-the-scenes moments from A Lo Cubano Boulder Fest, showcasing our community, organizers, and festival atmosphere",about.html,57,img,content,main,True,,,,hero-splash-img
mailto:alocubanoboulderfest@gmail.com?subject=Volunteer Inquiry - A Lo Cubano Boulder Fest,EMAIL US TO VOLUNTEER,about.html,426,a,email,main|form,True,,,,form-button-type
mailto:alocubanoboulderfest@gmail.com?subject=A Lo Cubano Boulder Fest Inquiry,alocubanoboulderfest@gmail.com,about.html,436,a,email,footer|form,True,,,,
https://instagram.com/alocubanoboulder,,about.html,438,a,social,footer|form,True,_blank,noopener noreferrer,Follow us on Instagram,social-link-type
https://chat.whatsapp.com/KadIVdb24RWKdIKGtipnLH,,about.html,445,a,social,footer|form,True,_blank,noopener noreferrer,Join us on WhatsApp,social-link-type
/js/navigation.js,,about.html,453,script,asset,form,True,,,,
/js/components/lightbox.js,,about.html,454,script,asset,form,True,,,,
/js/components/lazy-loading.js,,about.html,455,script,asset,form,True,,,,
/js/main.js,,about.html,456,script,asset,form,True,,,,
/js/typography.js,,about.html,457,script,asset,form,True,,,,
/js/image-cache-manager.js?v=2025-07-20-DEBUG-TIMING,,about.html,458,script,content,form,True,,,,
/js/gallery-hero.js,,about.html,459,script,asset,form,True,,,,
/js/gallery-detail.js?v=2025-07-21-FIXED,,gallery-test-minimal.html,49,script,content,body,True,,,,
/images/favicon-circle.svg,,schedule.html,9,link,asset,body,True,,icon,,
/images/favicon.ico,,schedule.html,10,link,asset,body,True,,icon,,
/images/favicons/favicon-16x16.png,,schedule.html,11,link,asset,body,True,,icon,,
/images/favicons/favicon-32x32.png,,schedule.html,12,link,asset,body,True,,icon,,
/images/favicons/favicon-192x192.png,,schedule.html,13,link,asset,body,True,,icon,,
/images/favicons/favicon-192x192.png,,schedule.html,14,link,asset,body,True,,apple-touch-icon,,
/css/base.css,,schedule.html,15,link,asset,body,True,,stylesheet,,
/css/components.css,,schedule.html,16,link,asset,body,True,,stylesheet,,
/css/typography.css,,schedule.html,17,link,asset,body,True,,stylesheet,,
/css/mobile-overrides.css,,schedule.html,18,link,asset,body,True,,stylesheet,,
/home,,schedule.html,25,a,navigation,header,True,,,Go to home page,logo-link
/images/logo.png,A Lo Cubano Boulder Fest Logo,schedule.html,26,img,asset,header,True,,,,
/home,Home,schedule.html,39,a,navigation,header|navigation|nav|list,True,,,,nav-link
/about,About,schedule.html,40,a,navigation,header|navigation|nav|list,True,,,,nav-link
/artists,Artists,schedule.html,41,a,navigation,header|navigation|nav|list,True,,,,nav-link
/schedule,Schedule,schedule.html,42,a,navigation,header|navigation|nav|list,True,,,,nav-link is-active
/gallery,Gallery,schedule.html,43,a,navigation,header|navigation|nav|list,True,,,,nav-link
/tickets,Tickets,schedule.html,44,a,navigation,header|navigation|nav|list,True,,,,nav-link
/donations,Donate,schedule.html,45,a,navigation,header|navigation|nav|list,True,,,,nav-link
,"Workshop sessions and dance classes in action at A Lo Cubano Boulder Fest, showing the vibrant learning environment",schedule.html,57,img,content,main,True,,,,hero-splash-img
